title,description,value
Xml - Feed,"Necessito da criação de 4 xml feed para site de empregos, o objetivo é fazer com que as vagas apareçam automaticamente no site de parceirosCategoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição de trabalho?: Um... Ver mais detalhes  projetoTenho, atualmente: Não se aplicaDisponibilidade requerida: Conforme necessárioFunções necessárias: Desenvolvedor colapsar",R$ 500 - 1.400
Home Page de Site + Páginas,"Layout ficará pronto na próxima semana. Precisamos de alguém que programe o layout exatamente como o layout for feito, código organizado e limpo, que fique leve e rápido. Nosso cliente é muito exigente.  
Desenvolvimento: 
- Página Inicial 
- Página Termos de Uso 
- Página Politicas de privacidade... Ver mais detalhes 
- Página Sobre
- Página de login (plataforma e area de membros) 
- Página de Cadastro
- Página de erro 404 não encontrada, 401 não autorizado, 500 erro geral
- blog wordpress (essa página precissará ser feita no wordpress)
- estruturação de dados aplicadas para seo (importantíssimo)
- responsividade para notebook, tablet, smarthpones diversos e monitores diversos
- código muito bem organizado, leve e rápido  (importantíssimo - verificaremos ao final do projeto a nota do site google speed e outros parecidos para checarmos códigos, erros e etc..Portanto, precisamos que o programador realmente entenda o que está fazendo.Categoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Alteração médiaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho o designDisponibilidade requerida: Conforme necessárioFunções necessárias: Desenvolvedor colapsar",R$ 1.400 - 2.700
Desenvolver Site de Rifas,"Preciso basicamente de um pequeno ecommerce, com os produtos que vou rifar na página inicial, porém, quando escolher o produto, abrir uma tabela onde os meus clientes possam visualizar os números disponíveis, reservar, fazer o pagamento, e que após confirmado o pagamento apareça o nome dele na... Ver mais detalhes  tabela. Como no modelo abaixo.  
Modelo de site: rifas.meCategoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Alteração médiaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioFunções necessárias: Desenvolvedor, Designer colapsar",R$ 1.400 - 2.700
Roleta russa,Jogo e disputa on line onde os participantes vão construindo  seu caminho durante um determinado tempo vao acumulando pontos.Categoria: TI e ProgramaçãoSubcategoria: Programação,Menos de R$ 270
Criação de Backend no padrão Rest e um front end web,"Bom dia,
contratei um programador mobile para desenvolver um app para uma empresa que eu represento. Uma grande empresa que trabalha com fábricação e venda de máquinas. No entanto, esse app servirá apenas para mostrar informações, conforme explicarei adiante.  
O que eu preciso então é de uma... Ver mais detalhes  empresa que desenvolva um backend no padrão REST e também um front end web. Esse front end web será bem simples, sendo necessario apenas uma interface de administração que será usada para alimentar, editar, excluir dados, sendo utilizada apenas por poucos administradores.
O app mostrará portanto, as informações fornecidas pelo backend, alem de utilizar um sistema de cadastro/login, também responsabilidade do backend.  
As informações que queremos mostrar no app são:
-Textos relacionados a empresa
-Lista de funcionários
-Vídeos sobre a empresa (que já tenho em um canal do youtube)
-Lista de produtos
-imagens de produtos
-noticias sobre a empresa
-Manuais de produtos(arquivos pdf para download)
-Links externos 
Sendo todos esses itens listados no app(apenas listados) e gerenciados pela interface de administração web.
Resumindo:
- na web queremos apenas gerenciar(não haverá acesso dos usuários diariamente, apenas admins)
- no app que faremos depois com nosso desenvolvedor, mostraremos os dados.  
Algumas informações adicionais que serão necessárias no app, onde preciso que o backend me forneça o necessário:
-o App deverá ter duas opções de idioma: espanhol e português
-Obviamente, deverá haver níveis de permissões diferentes de acesso (admin e user)
-1000 usuários em média usarão o app mensalmente.  
OBS: Criamos este e-mail com a ajuda do programador mobile. 
Entendo que não será necessário passar valores/prazos fechados apenas com essa explicação. Porém necessito ter valores e prazos iniciais em mãos, para que possa ser feita uma estimativa e que esta seja apresentada a alta gerência.
Caso se interessem pelo projeto e necessitem de mais informações para nos passar estimativas de preço e prazo, estamos a disposição para esclarecer todas as dúvidas, não importando quantas forem.   
Estou à disposição e aguardo retorno, caso haja interesse no projeto citado. 
Obrigado.Categoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Alteração médiaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioFunções necessárias: Desenvolvedor colapsar",R$ 2.700 - 5.000
Canais iptv,"Gostaria de um site educativo e intuitivo. Para o máximo de conversão com teste grátis, pois o cliente precisa aprender a instalar os aplicativos na maioria das vezes, gostaria de um site limpo e rápido focado no celular, com captação de leads no processo de teste , e com check out mercado pago... Ver mais detalhes  para contratação.Categoria: TI e ProgramaçãoSubcategoria: Lojas Virtuais (e-commerce)Qual é o alcance do projeto?: Criar uma nova loja onlineIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Mídias sociais (Facebook, Twitter, etc), Payment Processor (Paypal, Stripe, etc)Funções necessárias: Fazer o design de uma landing page colapsar",R$ 2.700 - 5.000
App para Gerenciamento de condomínio,"Condomínio de casas necessita de um APP para gestão e seus moradores terem visualizações e acompanhamento de tudo que é feito no condomínio.Categoria: TI e ProgramaçãoSubcategoria: Programação de Apps para Android, iOS e outrosQual é o alcance do projeto?: Criar um novo aplicativoIsso é um projeto... Ver mais detalhes  ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioPlataformas exigidas: Android, iPhoneEu preciso: Criar um appTipo de aplicativo: Gerenciamento - Aplicativo para gerenciamento (turnos, estoque de mercadoria,etc)Precisa de back-end: SimGateway de pagamento: Não colapsar",R$ 5.000 - 16.000
Menu personalizado wordpress,"Preciso de um menu idêntico a esse https://colegiomartinus.com.br/ em um tema que eu já tenho. o Tema é o kallyas, preciso com certa urgênciaCategoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição de trabalho?: Um... Ver mais detalhes  projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioFunções necessárias: Desenvolvedor, Designer colapsar",R$ 500 - 1.400
Finalizar Projeto em Nodejs,"Olá, estamos em fase final de um projeto em Node, o programador que estava responsável pelo backend teve que sair do projeto. 
Temos 15 dias para dividir algumas tasks, preciso de profissionais que tenham experiência e disponibilidade nos próximos 15 dias.Categoria: TI e ProgramaçãoSubcategoria:... Ver mais detalhes  ProgramaçãoQual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Meio períodoIntegrações de API: Payment Processor (Paypal, Stripe, etc), Outros (Outras APIs)Funções necessárias: Desenvolvedor colapsar",Menos de R$ 50 / hora
Criação de site em Wordpress (institucional),"Olá! Gostaria que um freelancer pudesse me ajudar em relação a questão do meu site institucional. 
Estou lançando meus serviços no mercado, e gostaria de um ar mais profissional.  
A página em questão é a www.karinacarneiro.com.br . O tema está instalado, mas caso exista a possibilidade de... Ver mais detalhes  modificação para deixar mais profissional, aceito sugestões.  
Além dele ser leve, intuitivo, precisa ser:
- Responsível
- Ter o mínimo de técnicas de SEO 
No caso, eu produziria o conteúdo e o freelancer seria responsável pela diagramação, configuração e ajuste de imagens para deixá-lo mais profissional. Tenho alguns modelos de referência que tiro como inspiração, também.  
(Identidade visual também já está sendo criada. Mesmo com qualidade baixa, o logo já está criado). 
Qualquer dúvida, estou a disposição.Categoria: TI e ProgramaçãoSubcategoria: WordpressQual é o alcance do projeto?: Instalação/Configuração de pacoteIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioExperiência nesse tipo de projeto: Não (Eu nunca gerenciei esse tipo de projeto)Integrações de API: Mídias sociais (Facebook, Twitter, etc), Outros (Outras APIs) colapsar",R$ 500 - 1.400
Desenvolvedor Pj para banco digital,"Necessário experiência comprovada em Php,Ruby,Java,Json,c#,SQL.
Desejável vivência com meios de pagamentos.
Vaga PJ para São Paulo - Vila Mariana. 
Interessados por favor mandar CV, Portifólio ou Link do Linkedin,
ObrigadaCategoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do... Ver mais detalhes  projeto?: Alteração médiaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioIntegrações de API: Payment Processor (Paypal, Stripe, etc)Funções necessárias: Desenvolvedor colapsar",R$ 5.000 - 16.000
Subir node bitcoin,"Subir node bitcoin. Precisamos de alguém para subir node bitcoin para fazer integração interna. A integração interna ficará na responsabilidade de nossa equipe.Categoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição... Ver mais detalhes  de trabalho?: Um projetoTenho, atualmente: Não se aplicaDisponibilidade requerida: Conforme necessárioIntegrações de API: Outros (Outras APIs)Funções necessárias: Desenvolvedor colapsar",R$ 500 - 1.400
Carretas Comércio,"Auto peças para carretas e caminhões no ecommerce
disponibilizando também artigos para incrementar na carreta, por exemplo, capas de banco, etcCategoria: TI e ProgramaçãoSubcategoria: Lojas Virtuais (e-commerce)Qual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição... Ver mais detalhes  de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Payment Processor (Paypal, Stripe, etc), Mídias sociais (Facebook, Twitter, etc)Funções necessárias: Designer, Desenvolvedor colapsar",R$ 500 - 1.400
Developer needed for creating fitness video platform.,"The list of our expected system.
4 different parts on one platform. 
Lessons (pre-recorded lessons' videos),
Salon (live lessons in e-conference system),
Personal Lessons (1:1 sessions (e-conference system),
License (LMS) learning management system. 
For all of them we will need a video hosting... Ver mais detalhes  service and reservation system with a subscription and fixed ticket system and support system. 
We will provide an explanation in depth personally.Categoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Criar um novo site personalizadoIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho o designDisponibilidade requerida: Conforme necessárioIntegrações de API: Payment Processor (Paypal, Stripe, etc), Mídias sociais (Facebook, Twitter, etc)Funções necessárias: Desenvolvedor colapsar",R$ 5.000 - 16.000
Ajuste pontuais em um e-commerce já montado no wordpress,"Ajustes devem ser realizados em um loja virtual já montada no wordpress.
- Emissão de boleto.
- Fechamento de pedido (melhor experiência).  
- Ajuste nos cálculos de frete de tranportadoras e correio.
- Melhor velocidade.Categoria: TI e ProgramaçãoSubcategoria: Lojas Virtuais (e-commerce)Qual é o... Ver mais detalhes  alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Não se aplicaDisponibilidade requerida: Conforme necessárioIntegrações de API: Payment Processor (Paypal, Stripe, etc)Funções necessárias: Desenvolvedor, OutroOutras funções necessárias: Olá, Já tenho uma loja todo montada em wordpress com o plugin do WooCommerce. Ajustes que precisam ser configurados:
- Emissão de boletos.
- Melhor o fechamento do carinho.
- Ajustar tabela de calculo de transportadora e correio, que não está funcionado.
- Melhorar velocidade da loja. Também gostaria de orçamento para analisa geral da loja. Obrigada! colapsar",R$ 500 - 1.400
Inventei Um Equipamento E Preciso Desenvolve-Lo,"Eu inventei um equipamento revolucionário e preciso desenvolve-lo ele é um aparelho para o seguimento de ÓTICA o ramo que eu trabalhoCategoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Alteração médiaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho,... Ver mais detalhes  atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Outros (Outras APIs)Funções necessárias: Desenvolvedor colapsar",R$ 1.400 - 2.700
Criar Um App Inovador,"Criação de um App inovador uma idéia criativa revolucionária vou passar mais detalhes sobre o projeto mas é algo que não existe no mercadoCategoria: TI e ProgramaçãoSubcategoria: Programação de Apps para Android, iOS e outrosQual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou... Ver mais detalhes  uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioEu preciso: Criar um appApps similares: Outro colapsar",R$ 1.400 - 2.700
"Php Check-out Transparent (Paypal, Pagseguro ou Cielo)","Criar um site em php que recebe dados como numero de pedido, numero do cartão, cvv, validade, numero de parcelas, vindos de outro site por meio de url e processar junto ao gatway de pagamento (cielo, paypal, pagseguro...) , Depois redirecionar para o site que enviou os dados.Categoria: TI e... Ver mais detalhes  ProgramaçãoSubcategoria: OutrosTamanho do projeto: PequeñoIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Payment Processor (Paypal, Stripe, etc) colapsar",R$ 270 - 500
Portal de Cotação de combustível de postos e avaliações,"Preciso desenvolver um portal, como se fosse um ""mapa"" de postos de combustível no brasil, onde o usuário consiga encontrar o mais próximo por distancia ou por algumas considerações em pesquisas, como por exemplo, o mais próximo que tenha loja conveniência, e assim por diante. E também o usuário do... Ver mais detalhes  app, poder avaliar os postos, atendimento, limpeza, entre outros.Categoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Criar um novo site personalizadoIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Mídias sociais (Facebook, Twitter, etc), Payment Processor (Paypal, Stripe, etc)Funções necessárias: Desenvolvedor, Designer, Gerente de projetos, Analista de negócios colapsar",R$ 2.700 - 5.000
Teleorientação,"Plataforma de teleatendimento para meus pacientes em minha clínica. Para facilitar a atendimento de pacientes por aplicativo de pelo sistema Web .Categoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Alteração médiaIsso é um projeto ou uma posição de trabalho?: Um... Ver mais detalhes  projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Mídias sociais (Facebook, Twitter, etc), Payment Processor (Paypal, Stripe, etc)Funções necessárias: Designer, Desenvolvedor colapsar",R$ 1.400 - 2.700
Customização de Tema Wordpress,"Customização de Tema específico no Wordpress com filtro de produtos e produtos linkados. Entre si. + Algumas  configurações específicas.Categoria: TI e ProgramaçãoSubcategoria: WordpressQual é o alcance do projeto?: Desenvolvimento personalizadoIsso é um projeto ou uma posição de trabalho?: Um... Ver mais detalhes  projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessário colapsar",R$ 1.400 - 2.700
Programação de pixel,"Estou começando a trabalhar com anúncios para Facebook e estou com dificuldade em criar o pixel.  
Busco alguém que possa fazer com um custo baixo?Categoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição de trabalho?:... Ver mais detalhes  Um projetoTenho, atualmente: Não se aplicaDisponibilidade requerida: Conforme necessárioIntegrações de API: Mídias sociais (Facebook, Twitter, etc)Funções necessárias: OutroOutras funções necessárias: Preciso personalizar um pixel para Facebook  colapsar",R$ 500 - 1.400
Add onesignal push notification,"needed adding to android project One signal Push notification 
will Happy for work with u
come to work with me 
android developer neededCategoria: TI e ProgramaçãoSubcategoria: Programação de Apps para Android, iOS e outrosQual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou... Ver mais detalhes  uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioPlataformas exigidas: AndroidEu preciso: Eu preciso modificar um app existentePrecisa de back-end: NãoGateway de pagamento: Não colapsar",Menos de R$ 270
Manutenção de sites php e wordpress,"Preciso  de alguém que faça a manutenção  dos sites , a principio 3 sites , 2 em wordpress e um em php.
Gostaria de combinar um valor fixo mensal.Categoria: TI e ProgramaçãoSubcategoria: ProgramaçãoIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma... Ver mais detalhes  ideia geralDisponibilidade requerida: Meio períodoFunções necessárias: Desenvolvedor, Designer colapsar",R$ 110 - 160 / hora
Integração Wordpress (págs dinâmicas) com Api,"Gostaríamos que o nosso website criado em Wordpress, crie de forma automática páginas dinâmicas com o conteúdo procedente de um Excel que por sua vez esta integrado num sistema de pesquisa (API). Este Excel esta disponível na google docs, e pode ser actualizado frequentemente. Isto quer dizer que... Ver mais detalhes  se alguma informação for nova deve actualizar a página correspondente e/ou cria-la de raiz se for necessário.Categoria: TI e ProgramaçãoSubcategoria: WordpressQual é o alcance do projeto?: Desenvolvimento personalizadoIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioIntegrações de API: Outros (Outras APIs) colapsar",R$ 1.400 - 2.700
Replicate Tinder,"Need to create an app which functions like Tinder (sane features, profile listing, matching logic etc) and with some features from Bumble (like filters and BFF/Date mode). Includes both the free and premium feature like roaming, spotlight, superlike etc.Categoria: TI e ProgramaçãoSubcategoria:... Ver mais detalhes  Programação de Apps para Android, iOS e outrosQual é o alcance do projeto?: Criar um novo aplicativoIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioPlataformas exigidas: iPhone, AndroidEu preciso: Criar um appTipo de aplicativo: Loja onlinePrecisa de back-end: SimGateway de pagamento: Sim colapsar",R$ 2.700 - 5.000
Integração de código,"Preciso integrar o código do compre e confie que tem a mesma funcionalidade do ebit. Existe um código que deve seguir os parâmetros chamado string no código que a compre e confie me passou. Os selos deve existir na finalização da compra e nos rodapés do site.Categoria: TI e ProgramaçãoSubcategoria:... Ver mais detalhes  WordpressQual é o alcance do projeto?: Instalação de pluginIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioIntegrações de API: Outros (Outras APIs) colapsar",R$ 270 - 500
Instalação Painel Vox Streaming,"Procuro profissional com experiência em instalação e manutenção em painel vox-streaming
(ATUALMENTE APRESENTA ERROS DE CRIAÇÃO DE PASTAS)Categoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição de trabalho?: Um... Ver mais detalhes  projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioFunções necessárias: Desenvolvedor colapsar",R$ 500 - 1.400
Instalação e configuração da plataforma Consul,"Preciso que um profissional realize a instalação e configuração da plataforma Consul, em um servidor localizado na Hostgator, onde tenho conta.
Este é o link da página da plataforma http://consulproject.org/en/ https://docs.consulproject.org/docs/Categoria: TI e ProgramaçãoSubcategoria: Outros... Ver mais detalhes Tamanho do projeto: MédioIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessário colapsar",R$ 1.400 - 2.700
104/5000 Adjust a form created with the jqueryform.com app to work ...,"Adjust a form created with the jqueryform.com app to work on the cPanel server hosted on GoDaddy. 
The form in question is this: https://www.emcargo.net/assets/jqueryform/form.htmlCategoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Bug ou alteração pequenaIsso é um... Ver mais detalhes  projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Não se aplicaDisponibilidade requerida: Conforme necessárioIntegrações de API: Outros (Outras APIs)Funções necessárias: Desenvolvedor colapsar",R$ 500 - 1.400
Ajustes a website Php com Cms,"STVAC - Ajustes 
1. No site, ao clicar em produtos o que deverá aparecer é a listagem das categorias e não a listagem dos produtos como está atualmente
Depois de clicar numa categoria deverá aparecer um texto introdutório, seguido da listagem dos produtos dessa categoria. 
2. Página Câmaras de... Ver mais detalhes  vácuo tem que se acrescentar a seguir ao texto um campo de formulário semelhante ao de contactos. 
3. Activar idioma EN na consola e no site 
4. Ao fazer login, o nome do utilizador deve ser maior 
5. Na página notícias, definir uma margem do lado direito igual à do lado esquerdo 
6. 
Nos contactos, ao preencher o formulário, se deixares um campo vazio, surge o pop-up de campos por preencher, no entanto, o campo fica a vermelho e mesmo o conteúdo a inserir fica a vermelho. Enviando o formulário e ficando na página, os campos ficam a vermelho. 
7. No backoffice nos produtos, não está a guardar a informação relativa às características e stocks 
8. Plataforma apenas para B2B - retirar registro para consumidor, apenas para empresas;
• Os clientes vão ser validados pelo NIF. No processo de criação de conta podemos ter os seguintes comportamentos:
• Se ainda não existir um registo com um determinado NIF, o utilizador vai ser atribuído com o tipo 2, que tem a possibilidade de gerar propostas e fazer compras. 
(A validação do registo será feita pela empresa);
• Se já existir um registo com um determinado nif, esse registo será atribuído com o tipo 1 (que só tem a possibilidade de gerar propostas) e será atribuído como um “sub-cliente” do cliente do tipo 2 com o mesmo nif; 
9. Os orçamentos devem ser visíveis na área pessoal para clientes e respectivos sub-clientes, no entanto somente o cliente do tipo 2 poderá efetuar a compra do orçamento gerado pelo sub-cliente, podendo antes de finalizar compra efetuar alterações ao orçamento, ou seja, o orçamento terá que ser guardado e carregado para o carrinho para se poder finalizar compra. O cliente poderá aprovar ou recusar os orçamentos criados. 
Aprovando efetua compra desses produtos ou efetuando alterações, recusando o sub-cliente é informado que foi recusado o orçamento e pode voltar a gerar um novo.Categoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioFunções necessárias: Desenvolvedor colapsar",R$ 500 - 1.400
Software ou extencao para verificar numeros automatico,"Ex o site vai ter 6  parte que vai atualizando 1 a cada um minuto
iria colocar uma sequencia para me avisar quando saiu
quando saiu o Ex de 0-40  saiu 3 numeros sequidos 12 13 14 ai ele avisa
para nao ter q ficar vendo toda hora e verificandoCategoria: TI e ProgramaçãoSubcategoria:... Ver mais detalhes  Aplicativos desktopQual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Outros (Outras APIs)Plataformas exigidas: Windows colapsar",R$ 500 - 1.400
Club de Assinatura de livros Online,"Club de Assinatura de livros Online
Conteúdos: Livros em PDF, Livros Interativos, Vídeos, jogos
Acesso via logim e senha posterior ao pagamento 
Divisão de conteúdos: 3 anos., 4 anos etc
Não pode baixar o conteúdo
Meio de pagamento Online
Area administrativa de controle de assinatura a vencer e... Ver mais detalhes  paga 
Relatório de acessos de cada pessoa e por livroCategoria: TI e ProgramaçãoSubcategoria: Lojas Virtuais (e-commerce)Qual é o alcance do projeto?: Alteração médiaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Mídias sociais (Facebook, Twitter, etc), Payment Processor (Paypal, Stripe, etc)Funções necessárias: Designer, Desenvolvedor colapsar",R$ 1.400 - 2.700
Web Site de E-commerce,"Preciso criar um site para e-commerce de calçados e roupa infantil masculina. Disponibilidade imediata!!
Agradeço se puderem mandar propostas.Categoria: TI e ProgramaçãoSubcategoria: Lojas Virtuais (e-commerce)Qual é o alcance do projeto?: Criar uma nova loja onlineIsso é um projeto ou uma posição... Ver mais detalhes  de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Payment Processor (Paypal, Stripe, etc), Mídias sociais (Facebook, Twitter, etc)Funções necessárias: Designer, Analista de negócios, Desenvolvedor colapsar",R$ 2.700 - 5.000
Feed Customizado e Adaptação de Tema,"1) Criar um novo feed customizado para exportar conteúdo de site para um grande portal (tem manual). Este feed conviverá com o feed nativo do Wordpress e outro já pré-existente no site.
2) Adaptar um tema Wordpress de formato grid (onde todos os retângulos tem tamanhos iguais), transformando-o em... Ver mais detalhes  masonry (tamanhos diferentes) e inserindo posições de anúncio no projeto, inclusive entre os posts da home (masonry). 
2,5) Customizar outros detalhes  de design em posts, páginas e sidebar.Categoria: TI e ProgramaçãoSubcategoria: WordpressQual é o alcance do projeto?: Instalação/Configuração de pacoteIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessário colapsar",R$ 500 - 1.400
Projeto ardo,"Preciso de um criador de site experiente que consiga terminar um trabalho já iniciado ou iniciar um novo projeto para uma construtora, já temos fotos videos e textos, só precisamos  montar o site, o programador entrar em contato direto com o dono da empresa, para alinhar oque for preciso e lhe... Ver mais detalhes  daremos todo o suporte.Categoria: TI e ProgramaçãoSubcategoria: WordpressQual é o alcance do projeto?: Instalação/Configuração de pacoteIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioIntegrações de API: Outros (Outras APIs) colapsar",R$ 500 - 1.400
Criação de um sistema web (responsivo) para cadastro de perfis (cur...,"Quero construir um sistema para cadastrar perfis e empresas selecionadoras.
Não é um simples site de recrutamento pois gostariamos de algumas particularidades no perfil do candidato. 
O candidato é um professor (portal será exclusivamente para profissionais da educação). Quando ele cadastrar o... Ver mais detalhes  perfil dele, vai receber um link para poder divulgar seu proprio perfil.   
Neste cadastro ele poderá colocar não só as informações escritas (cursos, idiomas, dados pessoais..
.) Como também vídeos, pdf, imagens para que ele possa mostrar seus projetos as empresas selecionadoras. 
Quero um design clean, moderno e simples. Nada complicado. 
Os dados pessoais do candidato neste link compartilhavel deve ficar ocuto. 
Para a empresa selecionadora, gostaria de um login com um filtro para que ela pudesse facilmente encontrar seus profissionais. 
Dentro da área do professor (onde ele vai cadastrar o perfil) eu gostaria de uma aba com alguns vídeos (onde vou colocar alguns ""treinamentos"" para que eles saibam utilizar a plataforma. 
Este seria como um site de empregos mas apenas para professores.  
Na área de admin, quero a opção de gerenciar os perfis e também as empresas selecionadoras (opção de cadastro manual das empresas, de envio de login e senha por email e essas coisas que existem em sites desse tipo). 
Vou dar preferência a profissionais com experiência na criação de outros sites ou empresas com portifólio.Categoria: TI e ProgramaçãoSubcategoria: OutrosTamanho do projeto: MédioIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Mídias sociais (Facebook, Twitter, etc), Payment Processor (Paypal, Stripe, etc) colapsar",R$ 2.700 - 5.000
Vendas online afiliada da Magalu,"Montar a loja virtual parceiro MagaLu
2 situações; a pessoa tem os produtos dela mesma 
Divulgar o produto
Toda a logística fica por conta da MagaLu 
Vender os produtos da Magazine Lu
Não precisa comprar nada, se vender e a pessoa não pagar a MagaLu que der conta 
Se a pessoa comprar através do meu... Ver mais detalhes  link eu ganho comissão 
Ganha por venda se vender ganha se não, não ganha 
Nas redes sociais fazer divulgação 
Site parceiro MagaLu a forma de ganhar uma renda extraCategoria: TI e ProgramaçãoSubcategoria: Lojas Virtuais (e-commerce)Qual é o alcance do projeto?: Alteração médiaIsso é um projeto ou uma posição de trabalho?: Um projetoDisponibilidade requerida: Conforme necessárioIntegrações de API: Mídias sociais (Facebook, Twitter, etc), Cloud Storage (Dropbox, Google Drive, etc), Outros (Outras APIs)Funções necessárias: OutroOutras funções necessárias: Vender por link e ganhar comissão colapsar",R$ 1.400 - 2.700
